sample_id	population	superpopulation	ont_hap1_modbed_mb	ont_hap2_modbed_mb	has_pacbio_methylc	has_fiberseq	has_hic	has_isoseq_expression	has_harmonized_sup5_basecall	had_guppy_raw	had_dorado06_raw	assembly_naming	assembly_hap1_url	assembly_hap2_url	in_asm_lr_18donor_cohort	in_asm_lr_30donor_plan
HG01123	NA	NA	2645.6	2657.3	True	True	True	False	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01123/assemblies/release2/HG01123_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01123/assemblies/release2/HG01123_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01150	CLM	AMR	3842.7	3793.7	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01150/assemblies/release2/HG01150_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01150/assemblies/release2/HG01150_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01167	PUR	AMR	2886.5	2865.8	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01167/assemblies/release2/HG01167_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01167/assemblies/release2/HG01167_hap2_hprc_r2_v1.0.1.fa.gz	True	True
HG01175	PUR	AMR	2979.3	2990.7	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01175/assemblies/release2/HG01175_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01175/assemblies/release2/HG01175_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01192	PUR	AMR	2212.1	2280.3	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01192/assemblies/release2/HG01192_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01192/assemblies/release2/HG01192_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01243	PUR	AMR	2252.4	2240.8	True	False	True	False	False	False	False	UNRESOLVED			False	False
HG01252	CLM	AMR	2092.9	2173.5	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01252/assemblies/release2/HG01252_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01252/assemblies/release2/HG01252_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01255	CLM	AMR	3492.1	3513.0	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01255/assemblies/release2/HG01255_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01255/assemblies/release2/HG01255_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01258	CLM	AMR	2203.5	2339.5	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01258/assemblies/release2/HG01258_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01258/assemblies/release2/HG01258_mat_hprc_r2_v1.0.1.fa.gz	False	True
HG01261	CLM	AMR	2882.4	3007.9	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01261/assemblies/release2/HG01261_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01261/assemblies/release2/HG01261_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01346	CLM	AMR	3307.8	3271.9	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01346/assemblies/release2/HG01346_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01346/assemblies/release2/HG01346_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01358	CLM	AMR	2191.9	2224.9	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01358/assemblies/release2/HG01358_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01358/assemblies/release2/HG01358_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01361	CLM	AMR	2741.9	2802.5	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01361/assemblies/release2/HG01361_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01361/assemblies/release2/HG01361_mat_hprc_r2_v1.0.1.fa.gz	False	True
HG01433	CLM	AMR	3704.8	3707.1	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01433/assemblies/release2/HG01433_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01433/assemblies/release2/HG01433_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01496	CLM	AMR	2836.0	2838.7	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01496/assemblies/release2/HG01496_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01496/assemblies/release2/HG01496_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01530	IBS	EUR	2430.3	2458.2	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01530/assemblies/release2/HG01530_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01530/assemblies/release2/HG01530_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG01784	IBS	EUR	3202.6	3108.4	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01784/assemblies/release2/HG01784_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01784/assemblies/release2/HG01784_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG01786	IBS	EUR	2454.6	2456.9	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01786/assemblies/release2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01786/assemblies/release2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG01884	ACB	AFR	2451.4	2488.2	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01884/assemblies/release2/HG01884_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01884/assemblies/release2/HG01884_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01891	ACB	AFR	2846.9	2841.5	True	True	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01891/assemblies/release2/HG01891_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01891/assemblies/release2/HG01891_mat_hprc_r2_v1.0.1.fa.gz	False	True
HG01928	PEL	AMR	2779.0	2837.7	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01928/assemblies/release2/HG01928_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01928/assemblies/release2/HG01928_mat_hprc_r2_v1.0.1.fa.gz	False	True
HG01934	PEL	AMR	3218.1	3234.6	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01934/assemblies/release2/HG01934_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01934/assemblies/release2/HG01934_mat_hprc_r2_v1.0.1.fa.gz	False	False
